case_id,meeting_id,variant,original_input_tokens,compressed_input_tokens,tokens_saved,percent_saved,original_correct,compressed_correct,original_completeness,compressed_completeness,regression,improvement,evidence_recall,original_error,compressed_error
ES2011c:curated:18,ES2011c,lexical_50,217,154,63,29.032258064516128,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:18,ES2011c,llmlingua2_50,217,160,57,26.267281105990783,True,True,1.0,1.0,False,False,0.0,,
ES2011c:curated:18,ES2011c,modernbert_aggressive,217,164,53,24.42396313364055,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:18,ES2011c,modernbert_balanced,217,185,32,14.746543778801843,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:18,ES2011c,modernbert_conservative,217,204,13,5.990783410138249,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:18,ES2011c,original_repeat,217,217,0,0.0,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:19,ES2011c,lexical_50,212,149,63,29.71698113207547,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:19,ES2011c,llmlingua2_50,212,155,57,26.88679245283019,True,True,1.0,1.0,False,False,0.0,,
ES2011c:curated:19,ES2011c,modernbert_aggressive,212,143,69,32.54716981132076,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:19,ES2011c,modernbert_balanced,212,156,56,26.41509433962264,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:19,ES2011c,modernbert_conservative,212,212,0,0.0,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:19,ES2011c,original_repeat,212,212,0,0.0,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:20,ES2011c,lexical_50,214,123,91,42.52336448598131,True,False,1.0,1.0,True,False,1.0,,
ES2011c:curated:20,ES2011c,llmlingua2_50,214,157,57,26.635514018691588,True,False,1.0,1.0,True,False,0.0,,
ES2011c:curated:20,ES2011c,modernbert_aggressive,214,145,69,32.242990654205606,True,False,1.0,1.0,True,False,1.0,,
ES2011c:curated:20,ES2011c,modernbert_balanced,214,164,50,23.364485981308412,True,False,1.0,1.0,True,False,1.0,,
ES2011c:curated:20,ES2011c,modernbert_conservative,214,201,13,6.074766355140187,True,False,1.0,1.0,True,False,1.0,,
ES2011c:curated:20,ES2011c,original_repeat,214,214,0,0.0,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:21,ES2011c,lexical_50,212,122,90,42.45283018867924,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:21,ES2011c,llmlingua2_50,212,155,57,26.88679245283019,True,True,1.0,1.0,False,False,0.0,,
ES2011c:curated:21,ES2011c,modernbert_aggressive,212,113,99,46.698113207547166,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:21,ES2011c,modernbert_balanced,212,156,56,26.41509433962264,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:21,ES2011c,modernbert_conservative,212,175,37,17.452830188679247,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:22,ES2011c,lexical_50,213,144,69,32.394366197183096,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:22,ES2011c,llmlingua2_50,213,156,57,26.760563380281692,True,True,1.0,1.0,False,False,0.0,,
ES2011c:curated:22,ES2011c,modernbert_aggressive,213,154,59,27.699530516431924,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:22,ES2011c,modernbert_balanced,213,176,37,17.370892018779344,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:22,ES2011c,modernbert_conservative,213,176,37,17.370892018779344,True,True,1.0,1.0,False,False,1.0,,
ES2011c:curated:23,ES2011c,lexical_50,208,107,101,48.55769230769231,True,True,1.0,1.0,False,False,,,
ES2011c:curated:23,ES2011c,llmlingua2_50,208,151,57,27.403846153846153,True,True,1.0,1.0,False,False,,,
ES2011c:curated:23,ES2011c,modernbert_aggressive,208,117,91,43.75,True,True,1.0,1.0,False,False,,,
ES2011c:curated:23,ES2011c,modernbert_balanced,208,139,69,33.17307692307692,True,True,1.0,1.0,False,False,,,
ES2011c:curated:23,ES2011c,modernbert_conservative,208,158,50,24.03846153846154,True,True,1.0,1.0,False,False,,,
IS1003c:curated:24,IS1003c,lexical_50,281,161,120,42.704626334519574,True,True,1.0,1.0,False,False,1.0,,
IS1003c:curated:24,IS1003c,llmlingua2_50,281,183,98,34.87544483985765,True,True,1.0,1.0,False,False,0.0,,
IS1003c:curated:24,IS1003c,modernbert_aggressive,281,114,167,59.430604982206404,True,True,1.0,1.0,False,False,1.0,,
IS1003c:curated:24,IS1003c,modernbert_balanced,281,128,153,54.44839857651245,True,True,1.0,1.0,False,False,1.0,,
IS1003c:curated:24,IS1003c,modernbert_conservative,281,128,153,54.44839857651245,True,True,1.0,1.0,False,False,1.0,,
IS1003c:curated:25,IS1003c,lexical_50,286,139,147,51.3986013986014,True,True,1.0,1.0,False,False,1.0,,
IS1003c:curated:25,IS1003c,llmlingua2_50,286,188,98,34.26573426573427,True,True,1.0,1.0,False,False,0.0,,
IS1003c:curated:25,IS1003c,modernbert_aggressive,286,114,172,60.13986013986014,True,False,1.0,1.0,True,False,0.5,,
IS1003c:curated:25,IS1003c,modernbert_balanced,286,128,158,55.24475524475525,True,False,1.0,1.0,True,False,0.5,,
IS1003c:curated:25,IS1003c,modernbert_conservative,286,153,133,46.50349650349651,True,True,1.0,1.0,False,False,1.0,,
IS1003c:curated:26,IS1003c,lexical_50,281,185,96,34.163701067615655,True,True,1.0,1.0,False,False,1.0,,
IS1003c:curated:26,IS1003c,llmlingua2_50,281,183,98,34.87544483985765,True,True,1.0,1.0,False,False,0.0,,
IS1003c:curated:26,IS1003c,modernbert_aggressive,281,103,178,63.345195729537366,True,False,1.0,0.0,True,False,0.0,,
IS1003c:curated:26,IS1003c,modernbert_balanced,281,148,133,47.330960854092524,True,True,1.0,1.0,False,False,1.0,,
IS1003c:curated:26,IS1003c,modernbert_conservative,281,148,133,47.330960854092524,True,True,1.0,1.0,False,False,1.0,,
IS1003c:curated:27,IS1003c,lexical_50,288,187,101,35.06944444444444,True,True,1.0,1.0,False,False,1.0,,
IS1003c:curated:27,IS1003c,llmlingua2_50,288,190,98,34.02777777777778,True,True,1.0,1.0,False,False,0.0,,
IS1003c:curated:27,IS1003c,modernbert_aggressive,288,116,172,59.72222222222222,True,False,1.0,0.0,True,False,0.0,,
IS1003c:curated:27,IS1003c,modernbert_balanced,288,130,158,54.861111111111114,True,False,1.0,0.0,True,False,0.0,,
IS1003c:curated:27,IS1003c,modernbert_conservative,288,155,133,46.18055555555556,True,False,1.0,0.0,True,False,0.0,,
IS1003c:curated:28,IS1003c,lexical_50,283,177,106,37.45583038869258,True,False,1.0,0.0,True,False,0.5,,
IS1003c:curated:28,IS1003c,llmlingua2_50,283,185,98,34.628975265017665,True,True,1.0,1.0,False,False,0.0,,
IS1003c:curated:28,IS1003c,modernbert_aggressive,283,105,178,62.897526501766784,True,False,1.0,0.0,True,False,0.0,,
IS1003c:curated:28,IS1003c,modernbert_balanced,283,105,178,62.897526501766784,True,False,1.0,0.0,True,False,0.0,,
IS1003c:curated:28,IS1003c,modernbert_conservative,283,119,164,57.95053003533569,True,False,1.0,0.3333333333333333,True,False,0.5,,
IS1003c:curated:29,IS1003c,lexical_50,280,280,0,0.0,True,True,1.0,1.0,False,False,,,
IS1003c:curated:29,IS1003c,llmlingua2_50,280,182,98,35.0,True,True,1.0,1.0,False,False,,,
IS1003c:curated:29,IS1003c,modernbert_aggressive,280,280,0,0.0,True,True,1.0,1.0,False,False,,,
IS1003c:curated:29,IS1003c,modernbert_balanced,280,280,0,0.0,True,True,1.0,1.0,False,False,,,
IS1003c:curated:29,IS1003c,modernbert_conservative,280,102,178,63.57142857142857,True,True,1.0,1.0,False,False,,,
TS3004a:curated:30,TS3004a,lexical_50,224,106,118,52.67857142857143,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:30,TS3004a,llmlingua2_50,224,155,69,30.803571428571427,True,True,1.0,1.0,False,False,0.0,,
TS3004a:curated:30,TS3004a,modernbert_aggressive,224,106,118,52.67857142857143,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:30,TS3004a,modernbert_balanced,224,106,118,52.67857142857143,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:30,TS3004a,modernbert_conservative,224,106,118,52.67857142857143,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:31,TS3004a,lexical_50,222,177,45,20.27027027027027,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:31,TS3004a,llmlingua2_50,222,153,69,31.08108108108108,True,True,1.0,1.0,False,False,0.0,,
TS3004a:curated:31,TS3004a,modernbert_aggressive,222,222,0,0.0,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:31,TS3004a,modernbert_balanced,222,222,0,0.0,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:31,TS3004a,modernbert_conservative,222,222,0,0.0,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:32,TS3004a,lexical_50,223,176,47,21.076233183856502,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:32,TS3004a,llmlingua2_50,223,154,69,30.94170403587444,True,False,1.0,0.5,True,False,0.0,,
TS3004a:curated:32,TS3004a,modernbert_aggressive,223,223,0,0.0,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:32,TS3004a,modernbert_balanced,223,223,0,0.0,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:32,TS3004a,modernbert_conservative,223,223,0,0.0,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:33,TS3004a,lexical_50,228,181,47,20.614035087719298,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:33,TS3004a,llmlingua2_50,228,159,69,30.263157894736842,True,True,1.0,1.0,False,False,0.0,,
TS3004a:curated:33,TS3004a,modernbert_aggressive,228,228,0,0.0,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:33,TS3004a,modernbert_balanced,228,228,0,0.0,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:33,TS3004a,modernbert_conservative,228,228,0,0.0,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:34,TS3004a,lexical_50,228,175,53,23.24561403508772,True,True,1.0,1.0,False,False,1.0,,
TS3004a:curated:34,TS3004a,llmlingua2_50,228,159,69,30.263157894736842,True,True,1.0,1.0,False,False,0.0,,
TS3004a:curated:34,TS3004a,modernbert_aggressive,228,228,0,0.0,True,True,1.0,1.0,False,False,1.0,,
