example_id,category,strategy,question_index,question,expected_answer,token_count,tokens_saved,compression_ratio,semantic_valid,semantic_validation_reason,model_answer,deterministic_correct,deterministic_method,judge_correct,judge_reason,generation_input_tokens,generation_output_tokens,answer_input_tokens,answer_output_tokens,judge_input_tokens,judge_output_tokens
1,academic_notes,ORIGINAL,1,What do ribosomes assemble?,proteins,210,0,0.0,True,All key propositions from the source are present and accurately represented in the candidate without omissions or contradictions.,Proteins,True,normalized_exact,True,"The model answer correctly identifies that ribosomes assemble proteins, matching the expected answer exactly.",0,0,247,2,81,27
1,academic_notes,ORIGINAL,2,Which two features mentioned in the lecture do plant cells have that animal cells lack?,cellulose cell walls and chloroplasts,210,0,0.0,True,All key propositions from the source are present and accurately represented in the candidate without omissions or contradictions.,Cellulose cell walls and chloroplasts,True,normalized_exact,True,"The model answer correctly identifies the two features, cellulose cell walls and chloroplasts, that plant cells have and animal cells lack, matching the expected answer exactly.",0,0,257,8,103,42
1,academic_notes,ORIGINAL,3,Why do mature human red blood cells lack nuclei?,to leave more space for hemoglobin,210,0,0.0,True,All key propositions from the source are present and accurately represented in the candidate without omissions or contradictions.,Mature human red blood cells lack nuclei to leave more space for hemoglobin.,True,normalized_containment,True,"The model answer correctly states that mature human red blood cells lack nuclei to leave more space for hemoglobin, matching the expected answer.",0,0,251,16,103,36
1,academic_notes,ORIGINAL,4,Who published observations of cork cells in 1665?,Robert Hooke,210,0,0.0,True,All key propositions from the source are present and accurately represented in the candidate without omissions or contradictions.,Robert Hooke,True,normalized_exact,True,"The model answer correctly identifies Robert Hooke as the person who published observations of cork cells in 1665, matching the expected answer.",0,0,252,3,88,37
1,academic_notes,ORIGINAL,5,What time were Wednesday office hours moved to?,3:30 p.m.,210,0,0.0,True,All key propositions from the source are present and accurately represented in the candidate without omissions or contradictions.,3:30 p.m.,True,normalized_exact,True,The model answer matches the expected answer exactly.,0,0,250,6,90,19
1,academic_notes,FACTS,1,What do ribosomes assemble?,proteins,181,29,0.13809523809523805,True,"The candidate representation includes all materially important propositions from the source without omissions, contradictions, or ambiguous encodings.",Proteins,True,normalized_exact,True,"The model answer correctly identifies 'Proteins' as what ribosomes assemble, matching the expected answer.",286,181,218,2,81,30
1,academic_notes,FACTS,2,Which two features mentioned in the lecture do plant cells have that animal cells lack?,cellulose cell walls and chloroplasts,181,29,0.13809523809523805,True,"The candidate representation includes all materially important propositions from the source without omissions, contradictions, or ambiguous encodings.",Cellulose cell walls and chloroplasts,True,normalized_exact,True,"The model answer correctly identifies the two features, cellulose cell walls and chloroplasts, that plant cells have but animal cells lack, matching the expected answer.",286,181,228,8,103,41
1,academic_notes,FACTS,3,Why do mature human red blood cells lack nuclei?,to leave more space for hemoglobin,181,29,0.13809523809523805,True,"The candidate representation includes all materially important propositions from the source without omissions, contradictions, or ambiguous encodings.",Mature human red blood cells lack nuclei to allow more space for hemoglobin.,False,fuzzy_0.550,True,"The model answer correctly explains that mature human red blood cells lack nuclei to allow more space for hemoglobin, which matches the expected answer's reasoning.",286,181,222,16,103,39
1,academic_notes,FACTS,4,Who published observations of cork cells in 1665?,Robert Hooke,181,29,0.13809523809523805,True,"The candidate representation includes all materially important propositions from the source without omissions, contradictions, or ambiguous encodings.",Robert Hooke,True,normalized_exact,True,"The model answer correctly identifies Robert Hooke as the person who published observations of cork cells in 1665, matching the expected answer.",286,181,223,3,88,37
1,academic_notes,FACTS,5,What time were Wednesday office hours moved to?,3:30 p.m.,181,29,0.13809523809523805,True,"The candidate representation includes all materially important propositions from the source without omissions, contradictions, or ambiguous encodings.",3:30 p.m.,True,normalized_exact,True,The model answer matches the expected answer exactly.,286,181,221,6,90,19
1,academic_notes,COMPACT_ENGLISH,1,What do ribosomes assemble?,proteins,155,55,0.26190476190476186,True,All key propositions from the source are present and accurately represented without omissions or contradictions.,Proteins from mRNA.,True,normalized_containment,True,"The model answer correctly states that ribosomes assemble proteins, specifying that they do so from mRNA, which is accurate and adds harmless detail.",242,155,192,6,84,38
1,academic_notes,COMPACT_ENGLISH,2,Which two features mentioned in the lecture do plant cells have that animal cells lack?,cellulose cell walls and chloroplasts,155,55,0.26190476190476186,True,All key propositions from the source are present and accurately represented without omissions or contradictions.,Cellulose walls and chloroplasts.,True,fuzzy_0.928,True,"The model answer correctly identifies the two features, cellulose cell walls and chloroplasts, that plant cells have and animal cells lack, matching the expected answer with equivalent wording.",242,155,202,8,102,44
1,academic_notes,COMPACT_ENGLISH,3,Why do mature human red blood cells lack nuclei?,to leave more space for hemoglobin,155,55,0.26190476190476186,True,All key propositions from the source are present and accurately represented without omissions or contradictions.,Mature human red blood cells lack nuclei to have more space for hemoglobin.,False,fuzzy_0.593,True,"The model answer correctly states that mature human red blood cells lack nuclei to have more space for hemoglobin, which matches the expected answer's meaning.",242,155,196,16,103,39
1,academic_notes,COMPACT_ENGLISH,4,Who published observations of cork cells in 1665?,Robert Hooke,155,55,0.26190476190476186,True,All key propositions from the source are present and accurately represented without omissions or contradictions.,Robert Hooke,True,normalized_exact,True,"The model answer correctly identifies Robert Hooke as the person who published observations of cork cells in 1665, matching the expected answer.",242,155,197,3,88,37
1,academic_notes,COMPACT_ENGLISH,5,What time were Wednesday office hours moved to?,3:30 p.m.,155,55,0.26190476190476186,True,All key propositions from the source are present and accurately represented without omissions or contradictions.,3:30 p.m.,True,normalized_exact,True,The model answer matches the expected answer exactly.,242,155,195,6,90,19
1,academic_notes,SYMBOLIC,1,What do ribosomes assemble?,proteins,202,8,0.03809523809523807,True,"All key propositions from the source are present and unambiguously represented in the candidate, including lecture times, workshop details, cellular biology facts, transport mechanisms, historical data, and schedule changes.",proteins,True,normalized_exact,True,"The model answer correctly states that ribosomes assemble proteins, which matches the expected answer exactly.",253,202,240,2,81,28
1,academic_notes,SYMBOLIC,2,Which two features mentioned in the lecture do plant cells have that animal cells lack?,cellulose cell walls and chloroplasts,202,8,0.03809523809523807,True,"All key propositions from the source are present and unambiguously represented in the candidate, including lecture times, workshop details, cellular biology facts, transport mechanisms, historical data, and schedule changes.",cellulose cell walls and chloroplasts,True,normalized_exact,True,"The model answer correctly identifies the two features, cellulose cell walls and chloroplasts, that plant cells have and animal cells lack, matching the expected answer exactly.",253,202,250,8,103,42
1,academic_notes,SYMBOLIC,3,Why do mature human red blood cells lack nuclei?,to leave more space for hemoglobin,202,8,0.03809523809523807,True,"All key propositions from the source are present and unambiguously represented in the candidate, including lecture times, workshop details, cellular biology facts, transport mechanisms, historical data, and schedule changes.",Mature human red blood cells lack nuclei to have more space for hemoglobin.,False,fuzzy_0.593,True,"The model answer correctly states that mature human red blood cells lack nuclei to have more space for hemoglobin, which matches the expected answer's meaning.",253,202,244,16,103,39
1,academic_notes,SYMBOLIC,4,Who published observations of cork cells in 1665?,Robert Hooke,202,8,0.03809523809523807,True,"All key propositions from the source are present and unambiguously represented in the candidate, including lecture times, workshop details, cellular biology facts, transport mechanisms, historical data, and schedule changes.",Robert Hooke,True,normalized_exact,True,"The model answer correctly identifies Robert Hooke as the person who published observations of cork cells in 1665, matching the expected answer.",253,202,245,3,88,37
1,academic_notes,SYMBOLIC,5,What time were Wednesday office hours moved to?,3:30 p.m.,202,8,0.03809523809523807,True,"All key propositions from the source are present and unambiguously represented in the candidate, including lecture times, workshop details, cellular biology facts, transport mechanisms, historical data, and schedule changes.",14:00 to 15:30,False,fuzzy_0.273,False,"The expected answer specifies a single time, 3:30 p.m., while the model answer provides a time range from 14:00 to 15:30, which does not directly match the expected single time.",253,202,243,8,93,54
1,academic_notes,MANDARIN,1,What do ribosomes assemble?,proteins,242,-32,-0.15238095238095228,True,All key propositions from the source are accurately and completely represented in the candidate without omissions or contradictions.,蛋白质,False,fuzzy_0.000,True,"The model answer '蛋白质' is the Chinese term for 'proteins', which matches the expected answer.",250,242,279,3,82,33
1,academic_notes,MANDARIN,2,Which two features mentioned in the lecture do plant cells have that animal cells lack?,cellulose cell walls and chloroplasts,242,-32,-0.15238095238095228,True,All key propositions from the source are accurately and completely represented in the candidate without omissions or contradictions.,纤维素细胞壁和叶绿体,False,fuzzy_0.000,True,"The model answer correctly translates 'cellulose cell walls and chloroplasts' into Chinese as '纤维素细胞壁和叶绿体', matching the expected answer semantically.",250,242,289,11,106,48
