example_id,question_index,question,expected_answer,model_answer,deterministic_correct,judge_correct,judge_reason
1,1,What do ribosomes assemble?,proteins,Proteins,True,True,"The model answer correctly identifies that ribosomes assemble proteins, matching the expected answer exactly."
1,2,Which two features mentioned in the lecture do plant cells have that animal cells lack?,cellulose cell walls and chloroplasts,Cellulose cell walls and chloroplasts,True,True,"The model answer correctly identifies the two features, cellulose cell walls and chloroplasts, that plant cells have and animal cells lack, matching the expected answer."
1,3,Why do mature human red blood cells lack nuclei?,to leave more space for hemoglobin,Mature human red blood cells lack nuclei to provide more space for hemoglobin.,False,True,"The model answer correctly states that mature human red blood cells lack nuclei to provide more space for hemoglobin, which matches the expected answer's meaning."
1,4,Who published observations of cork cells in 1665?,Robert Hooke,Robert Hooke,True,True,"The model answer correctly identifies Robert Hooke as the person who published observations of cork cells in 1665, matching the expected answer exactly."
1,5,What time were Wednesday office hours moved to?,3:30 p.m.,15:30,False,True,"The model answer '15:30' is the 24-hour format equivalent of '3:30 p.m.', so it is semantically correct."
2,1,Where may food and drinks be stored?,the second-floor lounge,Food and drinks may be stored in the second-floor lounge.,True,True,"The model answer correctly identifies the second-floor lounge as the place where food and drinks may be stored, matching the expected answer with appropriate wording."
2,2,Where do chemical deliveries arrive?,loading dock C,Chemical deliveries arrive at loading dock C.,True,True,The model answer correctly identifies 'loading dock C' as the location for chemical deliveries and adds a complete sentence without changing the meaning.
2,3,What form must a principal investigator sign to authorize an overnight reference-sample loan?,form RS-4,Form RS-4,True,True,"The model answer correctly identifies the form as RS-4, matching the expected answer exactly, with only a difference in capitalization which is harmless."
2,4,How long is access disabled after three failed badge scans?,twenty minutes,20 minutes,False,True,The model answer '20 minutes' is semantically equivalent to the expected answer 'twenty minutes'.
2,5,What spill size requires evacuation and a call to campus emergency services?,a spill larger than 500 milliliters,Spills greater than 500 ml require evacuation and a call to campus emergency services.,False,True,"The model answer correctly states that spills greater than 500 ml require evacuation and a call to campus emergency services, which is semantically equivalent to the expected answer of a spill larger than 500 milliliters."
3,1,Where is the hardware-prototyping tutorial held?,Maker Studio B,Maker Studio B,True,True,"The model answer exactly matches the expected answer, correctly identifying the location as Maker Studio B."
3,2,How many posters are included in the poster session?,84,84 posters,True,True,"The model answer correctly states the number of posters as 84, matching the expected answer, with acceptable additional wording."
3,3,Where was the robotics demonstration moved?,the Stata Center,Stata Center,True,True,"The model answer correctly identifies 'Stata Center' as the location, which is equivalent to 'the Stata Center' in the expected answer."
3,4,When do shuttle buses begin departing for the reception?,5:40 p.m.,17:40,False,True,"The model answer '17:40' is the 24-hour format equivalent of '5:40 p.m.', which matches the expected answer exactly."
3,5,What is the best-poster award?,a $500 equipment grant,A $500 equipment grant announced during the evening reception at 19:15.,True,True,The model answer correctly identifies the best-poster award as a $500 equipment grant and adds harmless extra detail about the announcement time and place.
