context_id,category,strategy,question_index,question,expected_answer,model_answer,deterministic_correct,deterministic_method,judge_correct,judge_reason
factual_passages-02,factual_passages,RISK_AWARE_COMPACT,1,Where is the subject located?,northern Chile,Northern Chile,True,normalized_exact,True,"The model answer correctly identifies the location as northern Chile, matching the expected answer with only a difference in capitalization."
factual_passages-02,factual_passages,RISK_AWARE_COMPACT,2,What commonly cited measurement is given?,some stations record years without measurable rain,Years without measurable rain,True,normalized_containment,True,"The model answer correctly captures the key information from the expected answer, indicating that some stations record years without measurable rain, with only minor wording differences."
factual_passages-02,factual_passages,RISK_AWARE_COMPACT,3,What is it also notable for?,salt flats and volcanic terrain,It is also notable for hosting major astronomical observatories.,False,fuzzy_0.319,False,"The model answer mentions astronomical observatories, which is not part of the expected answer. The expected answer specifically highlights salt flats and volcanic terrain, which are missing in the model answer."
factual_passages-02,factual_passages,RISK_AWARE_COMPACT,4,What connected feature is identified?,the Pacific subtropical high,The Pacific subtropical high.,True,normalized_exact,True,"The model answer correctly identifies the connected feature as the Pacific subtropical high, matching the expected answer exactly except for capitalization, which is acceptable."
factual_passages-02,factual_passages,RISK_AWARE_COMPACT,5,What designation or recognized association is mentioned?,major astronomical observatories,The Atacama Desert hosts major astronomical observatories.,True,normalized_containment,False,The model answer describes a location hosting major astronomical observatories but does not explicitly mention the designation or recognized association 'major astronomical observatories' as requested.
factual_passages-03,factual_passages,RISK_AWARE_COMPACT,1,Where is the subject located?,off northeastern Australia,Off northeastern Australia,True,normalized_exact,True,"The model answer matches the expected answer exactly, differing only in capitalization which does not affect semantic correctness."
factual_passages-03,factual_passages,RISK_AWARE_COMPACT,2,What commonly cited measurement is given?,"more than 2,300 kilometers","More than 2,300 kilometers.",True,normalized_exact,True,"The model answer matches the expected answer exactly in meaning and measurement, with only minor differences in capitalization and punctuation."
factual_passages-03,factual_passages,RISK_AWARE_COMPACT,3,What is it also notable for?,thousands of individual reefs,It is also notable for coral bleaching.,False,fuzzy_0.299,False,"The model answer mentions coral bleaching, which is not the expected answer. The expected answer is 'thousands of individual reefs,' which is missing in the model answer."
factual_passages-03,factual_passages,RISK_AWARE_COMPACT,4,What connected feature is identified?,coral bleaching,Coral bleaching,True,normalized_exact,True,"The model answer correctly identifies the connected feature as 'coral bleaching,' matching the expected answer exactly."
factual_passages-03,factual_passages,RISK_AWARE_COMPACT,5,What designation or recognized association is mentioned?,World Heritage listing in 1981,World Heritage status,False,fuzzy_0.667,True,"The model answer 'World Heritage status' is semantically equivalent to 'World Heritage listing in 1981', capturing the key designation mentioned, though it omits the specific year."
meeting_notes-01,meeting_notes,RISK_AWARE_COMPACT,1,Who facilitated the meeting?,Mira,Mira,True,normalized_exact,True,"The model answer correctly identifies 'Mira' as the facilitator of the meeting, matching the expected answer exactly."
meeting_notes-01,meeting_notes,RISK_AWARE_COMPACT,2,When is the next formal review?,April 18,April 18,True,normalized_exact,True,The model answer matches the expected answer exactly.
meeting_notes-01,meeting_notes,RISK_AWARE_COMPACT,3,Who owns the highest-priority deliverable?,Noah,Noah,True,normalized_exact,True,The model answer matches the expected answer exactly.
meeting_notes-01,meeting_notes,RISK_AWARE_COMPACT,4,What is the remaining discretionary budget?,"$8,000",The remaining discretionary budget is not specified in the provided context.,False,fuzzy_0.028,False,"The expected answer specifies the remaining discretionary budget as $8,000, but the model answer states it is not specified, which contradicts the expected answer."
meeting_notes-01,meeting_notes,RISK_AWARE_COMPACT,5,What dependency could change the schedule?,vendor photography requires legal approval,Vendor photography requiring legal approval could change the schedule if approval slips and the delay is not properly flagged.,False,fuzzy_0.503,True,"The model answer correctly identifies the dependency 'vendor photography requires legal approval' and explains how it could change the schedule, which aligns with the expected answer."
meeting_notes-03,meeting_notes,RISK_AWARE_COMPACT,1,Who facilitated the meeting?,Priya,The context does not provide information about who facilitated the meeting.,False,fuzzy_0.113,True,"The model answer correctly states that the context does not provide information about who facilitated the meeting, which aligns with the expected answer being 'Priya' without supporting context."
meeting_notes-03,meeting_notes,RISK_AWARE_COMPACT,2,When is the next formal review?,August 14,August 14,True,normalized_exact,True,The model answer matches the expected answer exactly.
meeting_notes-03,meeting_notes,RISK_AWARE_COMPACT,3,Who owns the highest-priority deliverable?,Jon,Jon,True,normalized_exact,True,The model answer matches the expected answer exactly.
