transition,context_id,category,question,expected_answer,original_relevant_information,compact_english_representation,risk_aware_representation,compact_model_answer,risk_aware_model_answer,risk_categories
new_failure,meeting_notes-01,meeting_notes,What is the remaining discretionary budget?,"$8,000","Finance confirmed a remaining discretionary budget of $8,000; spending above that amount requires steering-committee approval.","Working group met 45 min to review Atlas redesign. Mira led meeting, started with prior decisions. Next review set for April 18. Written update due April 17. Top deliverable: accessibility audit. Noah owns audit, to finish by May 2. Others supply source material; Noah retains ownership. Finance confirmed $8,000 discretionary budget left. Spending >$8,000 needs steering-committee OK. Budget partly for testing, not fully for launch materials. Vendor photography needs legal OK; delay risk exists. If vendor photo approval delayed, owner must flag in shared tracker. Communications: use plain-language status labels; external announcements only post formal review. Proposal for second approval meeting rejected to avoid overlap with steering review. Progress meetings weekly on Wednesdays. Meeting notes saved with project files. Unresolved risks stay visible until owner closes with evidence. Tracker dates override informal chat dates.","The working group met 45 minutes to review the Atlas redesign. Mira facilitated, starting with decisions from the previous session. The next formal review is on April 18, with a written update circulated one day earlier. The top deliverable is the accessibility audit, owned by Noah, who must complete it by May 2; others provide source material but Noah retains ownership. Finance confirmed $8,000 discretionary budget; spending above requires steering-committee approval. The group reserved part of the budget for testing, not all for launch materials. Vendor photography requires legal approval; if that slips, the owner must flag it in the shared tracker rather than silently moving the due date. Communications decided to use plain-language status labels and send external announcements only after the formal review. A second approval meeting was rejected as duplicative of the steering review. Progress meetings recur weekly on Wednesdays. Notes are stored with project files; unresolved risks remain visible until closed with evidence. Dates in the tracker are authoritative when conflicting with informal chat messages.","$8,000",The remaining discretionary budget is not specified in the provided context.,"QUANTITY,REQUIREMENT"
recovered,meeting_notes-01,meeting_notes,What dependency could change the schedule?,vendor photography requires legal approval,One dependency could change the schedule: vendor photography requires legal approval.,"Working group met 45 min to review Atlas redesign. Mira led meeting, started with prior decisions. Next review set for April 18. Written update due April 17. Top deliverable: accessibility audit. Noah owns audit, to finish by May 2. Others supply source material; Noah retains ownership. Finance confirmed $8,000 discretionary budget left. Spending >$8,000 needs steering-committee OK. Budget partly for testing, not fully for launch materials. Vendor photography needs legal OK; delay risk exists. If vendor photo approval delayed, owner must flag in shared tracker. Communications: use plain-language status labels; external announcements only post formal review. Proposal for second approval meeting rejected to avoid overlap with steering review. Progress meetings weekly on Wednesdays. Meeting notes saved with project files. Unresolved risks stay visible until owner closes with evidence. Tracker dates override informal chat dates.","The working group met 45 minutes to review the Atlas redesign. Mira facilitated, starting with decisions from the previous session. The next formal review is on April 18, with a written update circulated one day earlier. The top deliverable is the accessibility audit, owned by Noah, who must complete it by May 2; others provide source material but Noah retains ownership. Finance confirmed $8,000 discretionary budget; spending above requires steering-committee approval. The group reserved part of the budget for testing, not all for launch materials. Vendor photography requires legal approval; if that slips, the owner must flag it in the shared tracker rather than silently moving the due date. Communications decided to use plain-language status labels and send external announcements only after the formal review. A second approval meeting was rejected as duplicative of the steering review. Progress meetings recur weekly on Wednesdays. Notes are stored with project files; unresolved risks remain visible until closed with evidence. Dates in the tracker are authoritative when conflicting with informal chat messages.",Vendor photography legal approval delay.,Vendor photography requiring legal approval could change the schedule if approval slips and the delay is not properly flagged.,"CAUSAL_DEPENDENCY,REQUIREMENT"
recovered,meeting_notes-03,meeting_notes,What dependency could change the schedule?,rare-book records cannot be auto-merged,One dependency could change the schedule: rare-book records cannot be auto-merged.,"Group met 45 min to review library catalog migration. Priya led, started with prior decisions. Next formal review: Aug 14. Written update due Aug 13. Top priority: duplicate-record review. Jon owns duplicate review, due Sep 1. Others supply source material; Jon retains ownership. Finance: $12,000 discretionary budget left. Spending >$12,000 needs steering approval. Group reserves budget part for testing, not all on launch materials. Dependency: rare-book records can't auto-merge. If rare-book dependency slips, owner must flag in shared tracker, not silently change due date. Communications: use plain-language status labels; external announcements only post formal review. Proposal for second approval meeting rejected to avoid duplicating steering review. Progress meetings every Tuesday 09:30. Meeting notes stored with project files. Unresolved risks stay visible until owner closes with evidence. Tracker dates override informal chat dates.","The next formal review is on August 14, with a written update circulated one day earlier. The highest-priority deliverable is the duplicate-record review, owned by Jon, who must complete it by September 1. The remaining discretionary budget is $12,000; spending above that requires steering-committee approval. Rare-book records cannot be auto-merged; if this dependency slips, the owner must flag it in the shared tracker rather than silently moving the due date. External announcements will be sent only after the formal review. A second approval meeting was rejected as duplicating the steering review. Progress meetings recur Tuesdays at 09:30. Dates in the tracker are authoritative over informal chat messages.",The rare-book records auto-merge dependency.,"The rare-book records cannot be auto-merged; if this dependency slips, it could change the schedule.","EXCEPTION,REQUIREMENT"
recovered,mixed_narrative_factual-05,mixed_narrative_factual,What separate logistics update was discussed?,the mobile unit departed at 07:45,The group then discussed a separate logistics update: the mobile unit departed at 07:45.,"Anika arrived clinic after morning briefing. Team reviewed weather, checked visitor list, posted revised notice near entrance. Anika carried gray document pouch signed out previous afternoon for scheduled task. Anika confirmed label with coordinator, placed pouch in records annex. Paul witnessed transfer, logged time in local register. Mobile unit left 07:45, changed travel plans, item location unchanged. At lunch, two visitors asked about public viewing; coordinator said appointment needed. Routine supplies delivered, moved to different room. Before leaving, Anika checked register, saw signed receipt still at reception. Another staff expected signed receipt to travel with item. Coordinator sent clarification, assigned follow-up next workday. Nothing missing or damaged reported. At closing, doors checked in sequence. Duty person kept register, did not send with evening courier.","Anika arrived at the clinic shortly after the morning briefing. The team had reviewed the weather, visitor list, and posted a revised notice. Anika carried a gray document pouch signed out the previous afternoon for a scheduled task. After confirming the label with the coordinator, Anika placed it in the records annex. Paul witnessed the transfer and logged the time. The group then discussed a logistics update: the mobile unit departed at 07:45, which affected travel plans but did not alter the location of the transferred item. During lunch, two visitors asked if the item would be publicly viewable; the coordinator explained access required an appointment. Later, a delivery with routine supplies was moved to another room. Before leaving, Anika checked the register again and noticed the signed receipt remained at reception because another staff member had expected it to travel with the item. The coordinator sent a clarification and assigned a follow-up for the next workday. Nothing was missing or damaged. At closing, doors were checked in sequence, and the person on duty kept the register rather than sending it with the evening courier.","The mobile unit left at 07:45, changed travel plans, but the item location remained unchanged.","The mobile unit departed at 07:45, which affected travel plans but did not alter the location of the transferred item.","CAUSAL_DEPENDENCY,TIME_DATE"
recovered,policies_handbooks-02,policies_handbooks,Who is eligible under the policy?,full-time employees,"It applies to full-time employees, provided all required records are current.","Remote work policy covers full-time employees with current required records. Standard limit: 3 remote days/week. Requests >3 days need admin review before approval. Manager approval mandatory; verbal permission invalid without record. Missing return/response/report deadline triggers consequence within 24 hours. Staff must log such events in central system to separate approved exceptions from oversights. Policy excludes roles needing daily lab access unless documented accommodation exists. Emergencies allow immediate protective action but require post-event record by responsible person. Supervisors may clarify procedures but cannot waive eligibility rules alone. Appeals go to operations director within 10 business days, specifying disputed decision. Annual audits sample approved and rejected remote requests. Personal convenience alone does not justify exceptions. Controlled handbook version overrides conflicting policy versions. Questions directed to operations; informal precedent not valid resolution.","The remote-work policy applies to full-time employees provided all required records are current. The standard limit is three days per week. Requests beyond that limit are not automatically denied but must be reviewed by the designated administrator before any commitment. Manager approval is required; verbal permission does not substitute for recorded approval. Missing a required return, response, or reporting deadline triggers a consequence within 24 hours. The policy does not apply in the usual way to positions requiring daily laboratory access; that case is permitted only with a documented accommodation. Emergencies may justify immediate protective action, but the responsible person must still create a record afterward. Supervisors may clarify procedures but cannot waive eligibility rules on their own. Appeals go to the operations director within ten business days and must identify the disputed decision. Personal convenience alone is not a sufficient reason for an exception. When two versions of the policy conflict, the controlled handbook version governs. Questions should be sent to operations, not resolved through informal precedent.","Full-time employees with current required records, excluding roles needing daily lab access unless documented accommodation exists.",Full-time employees with all required records current.,CONDITION
recovered,procedural_instructions-01,procedural_instructions,What is the next preparation step?,pH 7 buffer,"Next, pH 7 buffer.","Check work area and procedure version before calibration. Rinse probe sensor with deionized water first. If inspection fails, stop and fix issue. Use pH 7 buffer after rinse; keep unrelated items off work surface. Wait for reading change <0.02 over 30 seconds as acceptance. If acceptance fails, repeat prior prep step. If passed, log slope with operator and date. Repeat with pH 4 buffer after pH 7 slope logged. Confirm result readable and linked to correct project/sample. Never wipe glass bulb. If equipment, packaging, or source records damaged, isolate and notify coordinator. No repairs unless procedure authorizes. After completion, restore tools, remove temporary materials, mark task complete. Second person needed only if acceptance or safety notice requires.","Before starting, confirm work area availability and current procedure revision. Rinse the sensor with deionized water. If inspection or confirmation fails, stop and resolve the issue before continuing. Then apply pH 7 buffer. Keep unrelated items away from the work surface. Wait until the reading changes by less than 0.02 for 30 seconds. If the result is outside this condition, repeat the preceding preparation step. Once accepted, record the slope in the log, identifying the operator and using the current date. Repeat with pH 4 buffer, confirming the result is readable and linked to the correct project or sample. Do not wipe the glass bulb, even if the schedule is tight. If equipment, packaging, or source records appear damaged, isolate the item and notify the responsible coordinator. Do not improvise repairs unless explicitly authorized. Restore shared tools, remove temporary materials, and mark the task complete. A second person is required only if the acceptance checkpoint or local safety notice mandates it.",Rinse probe sensor with deionized water.,Apply pH 7 buffer.,
new_failure,procedural_instructions-01,procedural_instructions,What must be recorded?,record the slope,"Once the checkpoint passes, record the slope in the designated log.","Check work area and procedure version before calibration. Rinse probe sensor with deionized water first. If inspection fails, stop and fix issue. Use pH 7 buffer after rinse; keep unrelated items off work surface. Wait for reading change <0.02 over 30 seconds as acceptance. If acceptance fails, repeat prior prep step. If passed, log slope with operator and date. Repeat with pH 4 buffer after pH 7 slope logged. Confirm result readable and linked to correct project/sample. Never wipe glass bulb. If equipment, packaging, or source records damaged, isolate and notify coordinator. No repairs unless procedure authorizes. After completion, restore tools, remove temporary materials, mark task complete. Second person needed only if acceptance or safety notice requires.","Before starting, confirm work area availability and current procedure revision. Rinse the sensor with deionized water. If inspection or confirmation fails, stop and resolve the issue before continuing. Then apply pH 7 buffer. Keep unrelated items away from the work surface. Wait until the reading changes by less than 0.02 for 30 seconds. If the result is outside this condition, repeat the preceding preparation step. Once accepted, record the slope in the log, identifying the operator and using the current date. Repeat with pH 4 buffer, confirming the result is readable and linked to the correct project or sample. Do not wipe the glass bulb, even if the schedule is tight. If equipment, packaging, or source records appear damaged, isolate the item and notify the responsible coordinator. Do not improvise repairs unless explicitly authorized. Restore shared tools, remove temporary materials, and mark the task complete. A second person is required only if the acceptance checkpoint or local safety notice mandates it.",Slope with operator and date.,"The slope, identifying the operator and using the current date.",
new_failure,procedural_instructions-02,procedural_instructions,What is the first operational step?,confirm all deliverables are final,The first operational step is to confirm all deliverables are final.,"Before archive, confirm work area free and procedure revision shown.  
Step 1: confirm all deliverables final.  
If deliverables not confirmed, stop and fix before proceeding.  
After confirmation, create read-only snapshot.  
Keep unrelated items off work surface.  
Verify snapshot checksum matches manifest; this is acceptance checkpoint.  
If checksum fails, repeat prior prep step.  
If checkpoint passed, log archive ID.  
Log must include operator ID and current date.  
After logging, move drafts to temp folder.  
Confirm archive readable and linked to project/sample.  
Never delete legal-hold material regardless of schedule.  
If equipment, packaging, or source records damaged, isolate and notify coordinator.  
Do not repair unless procedure authorizes.  
At end, restore shared tools, remove temp materials, mark task complete.  
Second person needed only if checkpoint or safety notice requires.","Before starting, confirm the work area is available and the current procedure revision is displayed. Confirm all deliverables are final; if that inspection or confirmation fails, stop and resolve the issue rather than continuing with incomplete information. Next, create a read-only snapshot, keeping unrelated items away from the work surface. Verify its checksum against the manifest; this verification is the acceptance checkpoint. A result outside the stated condition requires repeating the preceding preparation step. Once the checkpoint passes, record the archive identifier in the designated log, identifying the operator and using the current date. Move working drafts to the temporary folder. Confirm the result is readable and linked to the correct project or sample. Do not delete legal-hold material; this restriction applies even when the schedule is tight. If equipment, packaging, or source records appear damaged, isolate the item and notify the responsible coordinator. Do not improvise a repair unless the procedure explicitly authorizes it. At completion, restore shared tools, remove temporary materials, and mark the task complete. A second person is required only when the acceptance checkpoint or local safety notice says so.",Confirm all deliverables final.,Confirm the work area is available and the current procedure revision is displayed.,
recovered,procedural_instructions-02,procedural_instructions,What must be recorded?,record the archive identifier,"Once the checkpoint passes, record the archive identifier in the designated log.","Before archive, confirm work area free and procedure revision shown.  
Step 1: confirm all deliverables final.  
If deliverables not confirmed, stop and fix before proceeding.  
After confirmation, create read-only snapshot.  
Keep unrelated items off work surface.  
Verify snapshot checksum matches manifest; this is acceptance checkpoint.  
If checksum fails, repeat prior prep step.  
If checkpoint passed, log archive ID.  
Log must include operator ID and current date.  
After logging, move drafts to temp folder.  
Confirm archive readable and linked to project/sample.  
Never delete legal-hold material regardless of schedule.  
If equipment, packaging, or source records damaged, isolate and notify coordinator.  
Do not repair unless procedure authorizes.  
At end, restore shared tools, remove temp materials, mark task complete.  
Second person needed only if checkpoint or safety notice requires.","Before starting, confirm the work area is available and the current procedure revision is displayed. Confirm all deliverables are final; if that inspection or confirmation fails, stop and resolve the issue rather than continuing with incomplete information. Next, create a read-only snapshot, keeping unrelated items away from the work surface. Verify its checksum against the manifest; this verification is the acceptance checkpoint. A result outside the stated condition requires repeating the preceding preparation step. Once the checkpoint passes, record the archive identifier in the designated log, identifying the operator and using the current date. Move working drafts to the temporary folder. Confirm the result is readable and linked to the correct project or sample. Do not delete legal-hold material; this restriction applies even when the schedule is tight. If equipment, packaging, or source records appear damaged, isolate the item and notify the responsible coordinator. Do not improvise a repair unless the procedure explicitly authorizes it. At completion, restore shared tools, remove temporary materials, and mark the task complete. A second person is required only when the acceptance checkpoint or local safety notice says so.","Archive ID, operator ID, and current date must be recorded.","The archive identifier must be recorded in the designated log, identifying the operator and using the current date.","CONDITION,ORDERING"
new_failure,procedural_instructions-02,procedural_instructions,What action is explicitly prohibited?,do not delete legal-hold material,The most important prohibition is: do not delete legal-hold material.,"Before archive, confirm work area free and procedure revision shown.  
Step 1: confirm all deliverables final.  
If deliverables not confirmed, stop and fix before proceeding.  
After confirmation, create read-only snapshot.  
Keep unrelated items off work surface.  
Verify snapshot checksum matches manifest; this is acceptance checkpoint.  
If checksum fails, repeat prior prep step.  
If checkpoint passed, log archive ID.  
Log must include operator ID and current date.  
After logging, move drafts to temp folder.  
Confirm archive readable and linked to project/sample.  
Never delete legal-hold material regardless of schedule.  
If equipment, packaging, or source records damaged, isolate and notify coordinator.  
Do not repair unless procedure authorizes.  
At end, restore shared tools, remove temp materials, mark task complete.  
Second person needed only if checkpoint or safety notice requires.","Before starting, confirm the work area is available and the current procedure revision is displayed. Confirm all deliverables are final; if that inspection or confirmation fails, stop and resolve the issue rather than continuing with incomplete information. Next, create a read-only snapshot, keeping unrelated items away from the work surface. Verify its checksum against the manifest; this verification is the acceptance checkpoint. A result outside the stated condition requires repeating the preceding preparation step. Once the checkpoint passes, record the archive identifier in the designated log, identifying the operator and using the current date. Move working drafts to the temporary folder. Confirm the result is readable and linked to the correct project or sample. Do not delete legal-hold material; this restriction applies even when the schedule is tight. If equipment, packaging, or source records appear damaged, isolate the item and notify the responsible coordinator. Do not improvise a repair unless the procedure explicitly authorizes it. At completion, restore shared tools, remove temporary materials, and mark the task complete. A second person is required only when the acceptance checkpoint or local safety notice says so.",Never delete legal-hold material regardless of schedule.,Improvising a repair unless the procedure explicitly authorizes it.,"NEGATION,REQUIREMENT"
