example_id,question_index,question,expected_answer,model_answer,deterministic_correct,judge_correct,judge_reason
1,1,What do ribosomes assemble?,proteins,proteins,True,True,"The model answer correctly states that ribosomes assemble proteins, which matches the expected answer."
1,2,Which two features mentioned in the lecture do plant cells have that animal cells lack?,cellulose cell walls and chloroplasts,Cellulose cell walls and chloroplasts,True,True,"The model answer correctly identifies the two features, cellulose cell walls and chloroplasts, that plant cells have but animal cells lack, matching the expected answer."
1,3,Why do mature human red blood cells lack nuclei?,to leave more space for hemoglobin,Mature human red blood cells lack nuclei as an adaptation that leaves more space for hemoglobin.,False,True,"The model answer correctly explains that mature red blood cells lack nuclei to leave more space for hemoglobin, matching the expected answer with equivalent wording and added context."
1,4,Who published observations of cork cells in 1665?,Robert Hooke,Robert Hooke,True,True,"The model answer correctly identifies Robert Hooke as the person who published observations of cork cells in 1665, matching the expected answer."
1,5,What time were Wednesday office hours moved to?,3:30 p.m.,3:30 p.m.,True,True,The model answer matches the expected answer exactly.
2,1,Where may food and drinks be stored?,the second-floor lounge,In the second-floor lounge.,True,True,"The model answer correctly identifies the second-floor lounge as the place where food and drinks may be stored, matching the expected answer with equivalent wording."
2,2,Where do chemical deliveries arrive?,loading dock C,loading dock c,True,True,"The model answer matches the expected answer exactly except for capitalization, which does not affect semantic correctness."
2,3,What form must a principal investigator sign to authorize an overnight reference-sample loan?,form RS-4,form rs-4,True,True,"The model answer correctly identifies the form as RS-4, with only a difference in capitalization which does not affect semantic correctness."
2,4,How long is access disabled after three failed badge scans?,twenty minutes,Twenty minutes,True,True,"The model answer matches the expected answer in meaning, differing only in capitalization which is acceptable."
2,5,What spill size requires evacuation and a call to campus emergency services?,a spill larger than 500 milliliters,Spill larger than 500 milliliters,True,True,"The model answer correctly identifies the spill size as larger than 500 milliliters, matching the expected answer in meaning and detail."
3,1,Where is the hardware-prototyping tutorial held?,Maker Studio B,#maker studio b,True,True,"The model answer correctly identifies 'Maker Studio B' as the location, with only a difference in capitalization and the presence of a hashtag, which does not change the meaning."
3,2,How many posters are included in the poster session?,84,84 posters,True,True,"The model answer correctly states the number of posters as 84, matching the expected answer, with acceptable additional wording."
3,3,Where was the robotics demonstration moved?,the Stata Center,Stata Center,True,True,The model answer 'Stata Center' is semantically equivalent to the expected answer 'the Stata Center'; the definite article 'the' is a minor difference that does not affect correctness.
3,4,When do shuttle buses begin departing for the reception?,5:40 p.m.,17:40,False,True,"The model answer '17:40' is the 24-hour clock equivalent of '5:40 p.m.', so it is semantically correct."
3,5,What is the best-poster award?,a $500 equipment grant,The best-poster award is a $500 equipment grant.,True,True,"The model answer correctly states that the best-poster award is a $500 equipment grant, matching the expected answer with equivalent wording and no contradictions."
